Orthogroup	Uloborus_diversus	Drosophila_melanogaster
OG0000062	jg9554.t1.p1, jg9525.t1.p1, GJZJ01069978.1.p1, GJZJ01201578.1.p1, jg36043.t1.p1, GJZJ01070242.1.p1, GJZJ01166634.1.p1, jg36076.t2.p1, jg15374.t1.p1, GJZJ01079389.1.p1, jg35772.t1.p1	FBpp0078161, FBpp0303192
OG0000065	GJZJ01101081.1.p1	FBpp0082545
OG0000065	jg43560.t1.p1, GJZJ01112022.1.p1, jg2099.t1.p1, jg2104.t1.p1, jg13964.t1.p1, GJZJ01091050.1.p1	FBpp0290896, FBpp0077614
OG0000065	jg42684.t1.p1, GJZJ01261415.1.p1, jg30473.t1.p1, GJZJ01244465.1.p1, GJZJ01230959.1.p1, jg13965.t1.p1, GJZJ01253199.1.p1, GJZJ01061455.1.p1	FBpp0071560
OG0000066	GJZJ01121523.1.p1, GJZJ01122616.1.p1, jg38011.t1.p1, GJZJ01182939.1.p1, GJZJ01217128.1.p1, GJZJ01171700.1.p1, GJZJ01058520.1.p1, jg31670.t1.p1, GJZJ01203273.1.p1, jg3135.t1.p1, GJZJ01157942.1.p1, GJZJ01210928.1.p1, GJZJ01052822.1.p1, jg3139.t1.p1, GJZJ01197025.1.p1, GJZJ01022305.1.p1, GJZJ01218980.1.p1, GJZJ01160193.1.p1, GJZJ01140671.1.p1, jg3142.t1.p1, GJZJ01254044.1.p1, jg3144.t1.p1, GJZJ01119650.1.p1, GJZJ01277200.1.p1	FBpp0297101, FBpp0307371, FBpp0307370
OG0000068	GJZJ01238972.1.p1, jg6599.t1.p1, jg11956.t1.p1, GJZJ01183940.1.p1, jg11957.t1.p1, GJZJ01270614.1.p1, jg11954.t1.p1, GJZJ01136217.1.p1, GJZJ01091362.1.p1, jg11960.t1.p1, GJZJ01256465.1.p1, jg12031.t1.p1, GJZJ01110106.1.p1, jg11958.t1.p1, GJZJ01096635.1.p1, GJZJ01180141.1.p1, jg11955.t1.p1, GJZJ01068431.1.p1, GJZJ01114599.1.p1, jg12008.t1.p1	FBpp0073268
OG0000072	jg20578.t1.p1, jg20583.t1.p1, GJZJ01153338.1.p1, jg20595.t1.p1, GJZJ01104101.1.p1, jg20591.t1.p1, GJZJ01167082.1.p1, GJZJ01254594.1.p1, jg20592.t1.p1, GJZJ01197584.1.p1, jg20593.t1.p1, GJZJ01118522.1.p1, GJZJ01246771.1.p1, jg20594.t1.p1, GJZJ01266034.1.p1, jg5896.t1.p1, GJZJ01152984.1.p1, jg20596.t1.p1	FBpp0071690, FBpp0312420, FBpp0071692, FBpp0079966
OG0000074	GJZJ01032622.1.p1, GJZJ01160024.1.p1	FBpp0305700
OG0000079	GJZJ01185077.1.p1, GJZJ01056215.1.p2, GJZJ01052220.1.p2, GJZJ01220918.1.p1, jg1154.t1.p1	FBpp0081062
OG0000079	GJZJ01216955.1.p1	FBpp0082964, FBpp0076122
OG0000081	jg24391.t2.p1, jg24391.t1.p1, GJZJ01152366.1.p1, jg24394.t1.p1, GJZJ01099914.1.p1	FBpp0292714, FBpp0292721, FBpp0292705, FBpp0292716, FBpp0292690, FBpp0303597, FBpp0292687, FBpp0292674, FBpp0292711
OG0000081	GJZJ01194146.1.p1, jg24390.t1.p1, jg12234.t2.p1, GJZJ01233517.1.p1, GJZJ01029692.1.p1, jg40631.t1.p1, jg40616.t1.p1, jg26171.t2.p1, GJZJ01214119.1.p1, jg26175.t1.p1, GJZJ01092089.1.p1, jg40633.t1.p1	FBpp0303273
OG0000086	jg2496.t1.p1, GJZJ01038548.1.p1, GJZJ01129680.1.p1, jg42712.t1.p1, jg10954.t1.p1, GJZJ01273492.1.p1	FBpp0428170
OG0000086	jg10954.t1.p2, GJZJ01172183.1.p1, jg38941.t1.p1	FBpp0288420
OG0000086	jg28454.t1.p1, jg9680.t1.p1, GJZJ01048785.1.p1, GJZJ01080877.1.p1, GJZJ01080877.1.p2, jg9679.t1.p1, GJZJ01179723.1.p1, jg9681.t1.p1	FBpp0310725, FBpp0301058, FBpp0301057, FBpp0301056
OG0000086	jg40556.t1.p1	FBpp0312367, FBpp0271700
OG0000087	jg6820.t1.p1, GJZJ01217191.1.p1, jg6479.t1.p1, jg7312.t1.p1, GJZJ01067652.1.p1, jg6821.t1.p1, GJZJ01279613.1.p1, jg26975.t2.p1	FBpp0083940
OG0000092	jg31422.t1.p1, GJZJ01271110.1.p1, jg31423.t1.p1, jg20780.t2.p1, jg20780.t1.p1	FBpp0304665, FBpp0298324, FBpp0298325, FBpp0423194
OG0000092	jg23090.t1.p1, GJZJ01041931.1.p1, jg35746.t1.p1, jg35747.t2.p1	FBpp0428121, FBpp0428119, FBpp0428120
OG0000100	GJZJ01189115.1.p1, GJZJ01066928.1.p1, jg24932.t1.p1, GJZJ01032700.1.p1, GJZJ01015760.1.p1, jg26325.t1.p1, jg26326.t1.p1, GJZJ01219930.1.p1, GJZJ01007748.1.p1	FBpp0076719, FBpp0076720, FBpp0086914, FBpp0086666
OG0000101	GJZJ01087712.1.p1, GJZJ01049002.1.p1, jg18741.t1.p1, GJZJ01068474.1.p1, jg23134.t1.p1, GJZJ01130784.1.p1, GJZJ01124777.1.p1, jg35607.t1.p1, GJZJ01029200.1.p1, jg18739.t1.p1, jg18740.t1.p1, GJZJ01163347.1.p1, GJZJ01103616.1.p1, GJZJ01084335.1.p1, GJZJ01089121.1.p1, jg35605.t2.p1, GJZJ01227553.1.p1	FBpp0086747, FBpp0293388, FBpp0086745, FBpp0086744
OG0000103	GJZJ01092081.1.p1, GJZJ01139748.1.p1, jg25812.t1.p1, jg720.t1.p1, GJZJ01238680.1.p1, jg25809.t1.p1	FBpp0297531, FBpp0072306
