HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue,p_adj_bh,p_adj_bonferroni
N5.HOG0059333,,0.201354569586825,0.164032154687226,1.22753108968644,0.219623044037209,0.415059436954535,0.0731412350463714,5.67476658948113,1.38877883764941e-08,1.18089249302007e-06,1.6613961234799891e-06,0.00016613961234799893
N5.HOG0062997,,-0.199257760251667,0.236259634020367,-0.843384698693344,0.39901332672461,0.620025005400133,0.109386024479075,5.6682287189141,1.44281284353495e-08,1.20278249705088e-06,1.6921931418831969e-06,0.00017260370047208608
N5.HOG0056527,,-0.0503443673257145,0.312650790338106,-0.161024276545955,0.872074280220537,0.881844123073224,0.155829234312209,5.65904162312973,1.52220637289259e-08,1.25664782197007e-06,1.767976197952821e-06,0.00018210154838914057
N5.HOG0065534,,0.0372169667794557,0.16551992409851,0.224848863254105,0.822096851819544,0.41728928839984,0.0738234548713907,5.65252993275386,1.58103254363339e-08,1.28945406187329e-06,1.8141312545082033e-06,0.00018913892319486245
N5.HOG0029401,,-0.232670333892412,0.30982621659343,-0.750970451921875,0.452670438697482,0.857108177023814,0.153255531524084,5.59267367709414,2.23599301416193e-08,1.77690388298274e-06,2.4999237783569317e-06,0.0002674918442841917
N5.HOG0066470,,-0.064202745460951,0.0865630996834737,-0.741687228111221,0.458276859808374,0.214523865090038,0.038441304126573,5.58055638236648,2.39750416872169e-08,1.87029513754525e-06,2.6313158137997776e-06,0.00028681342370417577
N5.HOG0063148,,0.0010161511245767,0.250007256632811,0.0040644865203618,0.996757017886853,0.648803106472483,0.116576419087365,5.56547466075671,2.61439773788252e-08,1.97051810856654e-06,2.7723193823063273e-06,0.0003127604013828859
N5.HOG0059162,,0.0860065393050357,0.194461177128041,0.442281285011484,0.658285671960695,0.487448242808066,0.0876003779720646,5.56445364840219,2.62975014552916e-08,1.97051810856654e-06,2.7723193823063273e-06,0.0003145970099096534
N5.HOG0063488,,0.0223220120647109,0.18315853210798,0.121872630271742,0.902999891898149,0.456452542126631,0.0821094285333093,5.55907586108046,2.71206807004551e-08,2.00530306235072e-06,2.821258288865603e-06,0.00032444470321954435
N5.HOG0036803,,0.147048197450401,0.209674885131889,0.701315264142888,0.483106289884699,0.528648134149676,0.0951595377628251,5.55538778958001,2.76996111407895e-08,2.03045306404342e-06,2.8566417937695237e-06,0.0003313704480772648
