HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue
N5.HOG0068608,,0.452781891535414,0.24123393452855,1.87694112115817,0.0605261640866923,-0.87959906330286,0.202680883424593,-4.33982252514759,1.42597834650657e-05,0.0002774653561358
N5.HOG0042328,,0.832523953971818,0.199754474463646,4.16773619818631,3.07639669378069e-05,-0.565614272682937,0.130443229320925,-4.3360952931591,1.45036086794831e-05,0.0002815653669888
N5.HOG0067229,,0.224955654605187,0.149446584927868,1.50525791347968,0.132257780957889,-0.365077356046267,0.0842179315414589,-4.33491240361972,1.45818175942409e-05,0.0002824388358574
N5.HOG0045350,,0.210309019926066,0.204415539800362,1.02883088111334,0.303559152613288,-0.585970074813726,0.135617584920049,-4.32075291090884,1.55497718414853e-05,0.0002998214521982
N5.HOG0064671,,0.348484341656244,0.138174992409342,2.52205073855813,0.0116672878059505,-0.32770812550482,0.0759360155901145,-4.31558230910763,1.59182723874035e-05,0.0003048528317661
N5.HOG0056708,,0.438878273144345,0.129168891830599,3.3977087433708,0.0006795272387995,-0.300774662471418,0.0697557480736698,-4.31182620468448,1.6191168098289e-05,0.0003077159478675
N5.HOG0028764,,0.2568740862868,0.133706164549882,1.92118356809919,0.0547085689970834,-0.313979415039025,0.0728231204700773,-4.31153475726212,1.6212528297146e-05,0.0003077159478675
N5.HOG0060303,,0.299487185517329,0.210088700646866,1.42552733486001,0.154004824341857,-0.61379534067397,0.142456755589894,-4.30864326603767,1.64259060426227e-05,0.0003103802597558
N5.HOG0052701,,0.206601536740945,0.149069180280281,1.38594400500822,0.165764002348584,-0.360550320939361,0.0837461484005907,-4.30527645539837,1.66777328985648e-05,0.000313744304769
N5.HOG0066301,,0.216731037700729,0.108962951842252,1.98903419957359,0.0466974282423715,-0.244351284557327,0.0568290827286257,-4.29975767379831,1.70984968512094e-05,0.0003202427832573
N5.HOG0055569,,0.646150567132883,0.214368663652073,3.01420252440257,0.00257655747191,-0.631452471660656,0.147400140167349,-4.28393399723871,1.83617403946995e-05,0.0003405397047078
N5.HOG0061630,,0.0833577074974077,0.13753531972687,0.606082187927775,0.544460178309325,-0.322720169268488,0.0753370723380099,-4.28368344100976,1.83824404994956e-05,0.0003405397047078
