"HOG","error","fit","coef_.Intercept._Estimate","coef_.Intercept._StdErr","coef_.Intercept._z.value","coef_.Intercept._p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value","logLik","qvalue"
"N5.HOG0059968",NA,NA,-2.22056611925044,0.95858913019061,-2.31649415720882,0.0205313030871562,0.208042676039192,0.62629290266928,0.332181117097939,0.739752501361197,NA,0.933192738420773
"N5.HOG0059970",NA,NA,-2.13428973982961,1.0935171585363,-1.95176611831717,0.0509659786108722,1.46333201901943,0.741753681105785,1.97280048120278,0.0485182983346975,NA,0.630029139173396
"N5.HOG0059973",NA,NA,-2.89381122782588,1.65089708107277,-1.75287197548707,0.0796239849965942,1.02232638625122,1.0562109280169,0.967918773734623,0.33308493749919,NA,0.89666388212204
"N5.HOG0059983","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059985",NA,NA,-0.892584632006741,0.421951640248148,-2.11537187408921,0.0343982650131432,-0.430234590279901,0.352429895558018,-1.22076644377371,0.222174462375301,NA,0.867515830506373
"N5.HOG0059986",NA,NA,-0.837853362925326,0.429780709983109,-1.94949038768691,0.0512368896228613,-0.219262192651687,0.323785411913138,-0.677183667281798,0.498289429133648,NA,0.920462639308812
"N5.HOG0059987",NA,NA,-1.26220922626615,0.574578769604663,-2.19675576794215,0.0280378936189407,0.0288719920570341,0.393702130024317,0.0733346097346511,0.941539851249142,NA,0.935787600682334
"N5.HOG0059991","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059992",NA,NA,-22052.5947346368,NA,NA,NA,22053.1246197377,NA,NA,NA,NA,NA
"N5.HOG0059995",NA,NA,-1.92915887239106,1.02209961485861,-1.88744702017908,0.0591002258742231,0.250631376177106,0.662043484343692,0.378572377954246,0.705005437215799,NA,0.933192738420773
"N5.HOG0059996",NA,NA,-1.75026117616138,0.935893723657707,-1.87014949659126,0.0614630606737788,-0.348495481156928,0.749487069657184,-0.464978643749424,0.641946750364558,NA,0.928850464655709
"N5.HOG0059998",NA,NA,-1.30016592323744,1.23126078196345,-1.05596307645251,0.290985084402659,-1.76851230328763,2.37459129482813,-0.74476492318466,0.456413843333118,NA,0.918215380064427
"N5.HOG0059999",NA,NA,-0.903604981970586,0.479118045513352,-1.88597568059123,0.0592982319205949,-0.28698247512135,0.372364171180311,-0.770703782299141,0.440882529539932,NA,0.916441007999329
"N5.HOG0060002",NA,NA,-2.08741706521114,1.22515826701678,-1.70379380477424,0.0884196157988995,-0.0360027995094235,0.857876841811995,-0.0419673288223737,0.966524742982859,NA,0.938254935813269
"N5.HOG0060007","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0060008",NA,NA,-1.72679956972265,0.922849713726507,-1.87116010769484,0.0613228922762531,-1.11355214651662,1.16529361042445,-0.955597916743934,0.339275414428714,NA,0.898587930966964
"N5.HOG0060010",NA,NA,-1.00969187530083,0.494900593661144,-2.04019127928579,0.0413312779983748,-0.330649295310456,0.392836523874801,-0.841696927895219,0.399957618294366,NA,0.907412787155248
"N5.HOG0060014","Lapack routine dgesv: system is exactly singular: U[2,2] = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
