HOG,error,coef_(Intercept)_Estimate,coef_(Intercept)_StdErr,coef_(Intercept)_z.value,coef_(Intercept)_p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,p_adj_bonferroni
N5.HOG0056761,,-0.66572865023692,0.38819515249222,-1.71493292990119,0.0863575243796589,1.6643409694443,0.277771439280354,5.99176421361479,2.0757673961817804e-09,2.483240536052264e-05
N5.HOG0056745,,0.109133248746507,0.2496044074819,0.437224846498036,0.661948292161056,0.707261861516665,0.118194487616676,5.98388195404198,2.17881248827489e-09,2.6065133797232508e-05
N5.HOG0068446,,0.151054349677386,0.125788492471964,1.20085984583251,0.2298055725673,-0.450370606461619,0.0753007175296302,-5.98096035783991,2.2182586017709103e-09,2.65370276529854e-05
N5.HOG0066974,,0.313049151974703,0.17133137265872,1.82715603754763,0.0676763117071816,-0.804850556722182,0.135449989501772,-5.94204960578199,2.81480206092504e-09,3.3673477054846257e-05
N5.HOG0065993,,-0.0148388914676723,0.178296579447413,-0.0832258897711996,0.933671927087478,0.475960374569005,0.08016798184719,5.93703824896383,2.90216979338323e-09,3.471865723824358e-05
N5.HOG0061654,,0.13628694034168,0.177994869173088,0.765679038810661,0.443867302250574,0.474930288848748,0.0800192109565121,5.93520334894151,2.9348152017449604e-09,3.510919425847496e-05
N5.HOG0064130,,-0.215383851347744,0.15266947749741,-1.41078527861863,0.158307936532989,0.402835072926631,0.0679844417343768,5.92540091011639,3.1153639508603505e-09,3.7269098944142374e-05
N5.HOG0064332,,0.4340467013021,0.150143921373869,2.89087095455095,0.0038417583535771,-0.592022516232106,0.100083900239835,-5.91526224311224,3.31347225256788e-09,3.963906855746955e-05
N5.HOG0062389,,0.45636717273063,0.154268143059646,2.9582722892709,0.0030936871762686,-0.620948379925881,0.105197732847177,-5.90267834790646,3.5764714852859903e-09,4.2785328378476305e-05
N5.HOG0065229,,-0.184738089290409,0.157213956736505,-1.17507435806119,0.239964968314214,0.413035775058205,0.0700850473036104,5.89335087795435,3.784416268053451e-09,4.527297181472343e-05
N5.HOG0043151,,-1.42635199579752,0.601331744124444,-2.3719885233638,0.017692640264202,1.59449645252761,0.270655483639647,5.89124015181798,3.8330802689290905e-09,4.585513925719871e-05
N5.HOG0058669,,0.348507278113654,0.118009059183857,2.95322478226593,0.0031447288226214,-0.401774573018602,0.0682195675696921,-5.88943300773865,3.87522856677313e-09,4.6359359344306957e-05
N5.HOG0054954,,0.563301183621801,0.130753865562821,4.30810348280801,1.6466034719195e-05,-0.463490965498973,0.0790304109098146,-5.8647166345609,4.499003564548121e-09,5.3821579642689165e-05
N5.HOG0066991,,-0.0670313909172709,0.155649074953857,-0.430657175040344,0.666717661763477,0.405681261447267,0.0693319132976903,5.8512918820716,4.877693557746171e-09,5.835184803131744e-05
N5.HOG0063012,,-0.003961093674134,0.172726185776427,-0.0229327919002463,0.98170388311486,0.452581163784922,0.0773894688736212,5.84809755606409,4.9722692573288504e-09,5.9483257125425036e-05
N5.HOG0062759,,0.0984374214171859,0.147322032447873,0.668178545880543,0.504019628490761,0.382714510971102,0.0654780226390364,5.84493079580166,5.06778904345234e-09,6.062596032682035e-05
N5.HOG0059649,,0.0134525213794213,0.209640267030634,0.064169548961009,0.948835223815167,0.559245386429898,0.0957348764263766,5.84160556012182,5.17001021426128e-09,6.184883219320769e-05
N5.HOG0067423,,0.11674360130465,0.145547721867716,0.802098444459027,0.422496014737948,-0.546970917318222,0.0936868788564101,-5.83828732470148,5.274014862081081e-09,6.309303979507597e-05
N5.HOG0062499,,0.453918367563292,0.164551651665571,2.75851602198329,0.0058064458731365,-0.683440492956968,0.117930789705242,-5.79526767068354,6.8212298115548404e-09,8.160237223563055e-05
N5.HOG0035027,,-2.05522290913808,0.773007045724663,-2.6587376150128,0.0078434020430112,1.98324336205673,0.342239319018482,5.79490213966219,6.8361030869805806e-09,8.178030122954869e-05
N5.HOG0067306,,-0.0625924715220956,0.133449375757824,-0.469035326442326,0.639044385375649,0.342160836312218,0.0591486230387699,5.78476418779763,7.261411980567781e-09,8.686827152353236e-05
