"HOG","error","coef_(Intercept)_Estimate","coef_(Intercept)_StdErr","coef_(Intercept)_z.value","coef_(Intercept)_p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value"
"N5.HOG0055931",NA,"-0.27577244408937","0.607178703799238","-0.454186621440783","0.649694511434997","-1.17834927365177","0.79951649745615","-1.47382734115051","0.14052808480838"
"N5.HOG0055932",NA,"0.422440620307293","0.215049194327013","1.96439062061731","0.0494848097164272","-0.210138193994322","0.161360068465149","-1.30229365910135","0.192816018445986"
"N5.HOG0055934",NA,"0.158749542519898","0.238312418835964","0.666140452500586","0.505321330187276","0.1510554040105","0.157764356899545","0.957474850334438","0.338327634470563"
"N5.HOG0055938",NA,"-0.395876478448548","0.356656637813071","-1.10996526204016","0.267013995928035","0.153581735041202","0.23596201407609","0.650874826791724","0.515127292572468"
"N5.HOG0055941",NA,"-1.47848777811034","1.05012439937574","-1.40791679441907","0.159155709463399","0.00934993388133857","0.724079366765553","0.0129128577756669","0.989697316460579"
"N5.HOG0055942","system is computationally singular: reciprocal condition number = 3.73364e-17",NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0055946",NA,"-1.62554339943482","0.973170013320947","-1.6703591121634","0.0948483342287014","-0.0384170845544234","0.682010540272487","-0.0563291654393998","0.955079585052892"
"N5.HOG0055956",NA,"-0.516254775110682","0.424675172126968","-1.21564623739373","0.224119712521736","-0.260277778641963","0.535456401991192","-0.486085846903823","0.626906301123797"
"N5.HOG0055963",NA,"0.31550968245421","0.197111349363583","1.60066725469083","0.109450637503723","-0.0200043698198127","0.137255485166286","-0.14574550369027","0.884122298126676"
"N5.HOG0055970",NA,"0.0795919040457882","0.234717578311896","0.339096477640142","0.734537051847734","-0.0921085758287027","0.167771057615776","-0.549013501718793","0.582996184107299"
"N5.HOG0055978",NA,"-0.545851110933023","0.431083859717738","-1.26622952501732","0.205430919886496","-0.30385489807426","0.337745141134659","-0.899657348299536","0.36830262793654"
"N5.HOG0055979",NA,"-0.738472311434649","0.425660417973845","-1.73488602710535","0.0827609945690648","0.459851952949373","0.26807226657115","1.7154029353026","0.0862713776213575"
"N5.HOG0055987",NA,"-1.53643751424186","0.730706773524265","-2.10267315140858","0.035494350568182","1.27019113006993","0.482096815112429","2.63472209368094","0.00842061952323813"
"N5.HOG0055997",NA,"-0.467736993585527","0.367838849473518","-1.27158127602615","0.203521932921652","-0.0131594962604074","0.255541260556593","-0.0514965615797025","0.958929841679963"
"N5.HOG0055998",NA,"0.288717370907463","0.204853115499156","1.40938725878764","0.158720689467819","-0.0738251645547614","0.145419147359382","-0.507671554230156","0.611683700562344"
"N5.HOG0055999",NA,"-0.168716257645135","0.276189340246322","-0.610871721170209","0.54128450744517","0.161004562418471","0.18239512936779","0.882724023259494","0.377385399149581"
"N5.HOG0056000",NA,"-0.687390239159498","0.430173426279808","-1.59793747629679","0.110056892578768","0.657018884414362","0.26902423231645","2.44222938118645","0.0145968687562772"
